CampusId,Latitude,Longitude
1,-25.453737,-49.23304
1,-25.4539,-49.232605
1,-25.453316,-49.232257
1,-25.452283,-49.230116
1,-25.45132,-49.229881
1,-25.450794,-49.229847
1,-25.448226,-49.230188
1,-25.445387,-49.232448
1,-25.446492,-49.233975
1,-25.448507,-49.234469
1,-25.448297,-49.235047
1,-25.44989,-49.23617
1,-25.450817,-49.236862
1,-25.452064,-49.238295
1,-25.453824,-49.237017
1,-25.454964,-49.238837
1,-25.457673,-49.236989
1,-25.456748,-49.235483
1,-25.455911,-49.23615
1,-25.453302,-49.234806
1,-25.453574,-49.233117
1,-25.453737,-49.23304
2,-25.444407,-49.240563
2,-25.444153,-49.236276
2,-25.445542,-49.234688
2,-25.451432,-49.239349
2,-25.446336,-49.240942
